fighter_name,weight_lbs,height_cms,stance
Rob Whiteford,145.0,175.26,Southpaw
James Te Huna,185.0,187.96,Orthodox
Brendan O'Reilly,170.0,170.18,Orthodox
Conor McGregor,155.0,175.26,Southpaw
Julian Erosa,145.0,185.42,Southpaw
Tom Breese,185.0,190.5,Southpaw
Mike Wilkinson,145.0,170.18,Orthodox
Norman Parke,155.0,180.34,Orthodox
Teemu Packalen,155.0,185.42,Orthodox
Daniel Sarafian,185.0,175.26,Orthodox
Jonavin Webb,170.0,177.8,Orthodox
Noad Lahat,145.0,175.26,Orthodox
Josh Barnett,250.0,190.5,Orthodox
George Sullivan,170.0,182.88,Orthodox
Matt Dwyer,170.0,193.04,Orthodox
Damon Jackson,145.0,180.34,Switch
Patrick Cote,170.0,180.34,Orthodox
Maximo Blanco,145.0,172.72,Orthodox
Charles Rosa,145.0,175.26,Switch
Lorenz Larkin,170.0,180.34,Orthodox
Diego Brandao,145.0,170.18,Orthodox
Sheldon Westcott,170.0,185.42,Southpaw
Josh Samman,185.0,190.5,Orthodox
Hayder Hassan,170.0,177.8,Orthodox
Joe Proctor,155.0,177.8,Orthodox
Tatsuya Kawajiri,145.0,170.18,Orthodox
Gabriel Gonzaga,242.0,187.96,Orthodox
Joby Sanchez,135.0,167.64,Orthodox
Omari Akhmedov,185.0,182.88,Orthodox
Zubaira Tukhugov,145.0,172.72,Orthodox
Benson Henderson,170.0,175.26,Southpaw
Yoshihiro Akiyama,170.0,177.8,Orthodox
Dongi Yang,185.0,177.8,Southpaw
Yui Chul Nam,145.0,175.26,Orthodox
Tae Hyun Bang,155.0,175.26,Switch
Ning Guangyou,145.0,162.56,Southpaw
Dominique Steele,170.0,177.8,Orthodox
Horacio Gutierrez,145.0,177.8,Orthodox
Hector Urbina,170.0,180.34,Orthodox
Vernon Ramos,170.0,167.64,Orthodox
Valmir Lazaro,155.0,182.88,Orthodox
Anthony Perosh,205.0,190.5,Orthodox
Richie Vaculik,125.0,167.64,Orthodox
Fabio Maldonado,205.0,185.42,Orthodox
Gleison Tibau,155.0,177.8,Southpaw
Kevin Souza,145.0,182.88,Orthodox
Viscardi Andrade,170.0,180.34,Orthodox
Bruno Korea,135.0,167.64,Orthodox
Paddy Holohan,125.0,177.8,Orthodox
Neil Seery,125.0,162.56,Orthodox
Cathal Pendred,170.0,185.42,Orthodox
Bubba Bush,185.0,182.88,Orthodox
Shawn Jordan,260.0,182.88,Southpaw
